ResponseId,LanguageHaveWorkedWith
1174,C;C++;SQL;VBA
3436,Dart;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript
3922,C;Go
6068,C#;C++;Dart;HTML/CSS;Java;JavaScript;Matlab;Node.js;PHP;Python;SQL
7047,NA
8998,Dart;Swift
11859,Bash/Shell;Elixir;Erlang;Haskell;HTML/CSS;Java;JavaScript;Julia;Node.js;Python;Scala;SQL;TypeScript
16927,C#;F#
18730,HTML/CSS;JavaScript;Scala
18908,HTML/CSS;Java;JavaScript;PHP;Python
19043,HTML/CSS;JavaScript;Node.js;Python;Rust
19661,C;C++;Dart;Go;JavaScript;Node.js;Python;SQL;TypeScript
19707,C#;C++;Dart;HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;Python;SQL
20225,HTML/CSS;JavaScript;Python;Swift
20500,C#;C++;HTML/CSS;Java;JavaScript;Objective-C;PHP;SQL;Swift;VBA
20667,C#;HTML/CSS;Java;JavaScript;SQL
20736,C#;HTML/CSS;JavaScript;Node.js;PHP;SQL
20990,JavaScript;Kotlin
21698,Bash/Shell;Java;Python;Scala
21728,Bash/Shell;HTML/CSS;Java;JavaScript;SQL;TypeScript
21842,HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript
25873,C;C++;Java
26289,HTML/CSS;JavaScript;SQL;TypeScript
27133,C#;HTML/CSS;JavaScript;SQL;VBA
27196,C#;HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript
27202,C#;HTML/CSS;Java;JavaScript;Node.js;Python;SQL;TypeScript
27247,C;C#;HTML/CSS;PHP;SQL
27348,Java;JavaScript;Node.js;TypeScript
27504,C#;Kotlin;SQL
27787,HTML/CSS;JavaScript;Node.js;TypeScript
27896,HTML/CSS;JavaScript;Node.js;SQL
28335,Groovy;HTML/CSS;Java;JavaScript;Kotlin;Node.js;TypeScript
28382,Bash/Shell;C;Java;JavaScript;SQL;TypeScript
28445,Java;JavaScript;SQL
28721,C#;Dart;HTML/CSS;JavaScript;Node.js;PowerShell;Python;TypeScript
28864,C++;Java;PHP;Swift;TypeScript
28954,HTML/CSS;Java;JavaScript;SQL
29514,JavaScript;Node.js;PHP;Ruby;TypeScript
29937,C#;HTML/CSS;JavaScript;SQL;TypeScript
30412,C#;C++;Dart
30678,HTML/CSS;JavaScript;PHP;SQL
30747,HTML/CSS;Java;JavaScript;Python;SQL
31453,NA
33647,JavaScript;Kotlin;Python
34011,C#;Java;JavaScript;Node.js
34502,Java;JavaScript;Node.js
35018,JavaScript;Kotlin;Swift;TypeScript
35057,JavaScript
35081,JavaScript;Node.js;PHP
35104,C#;HTML/CSS;Java;JavaScript;Matlab;Node.js;Perl;Python;SQL;TypeScript
35106,Bash/Shell;Go;Groovy;Java;JavaScript;Kotlin;Node.js;PHP;Ruby;SQL;TypeScript
35153,C;C#;C++;JavaScript;Matlab;Node.js;Objective-C
35333,Java;JavaScript;Node.js;PHP;SQL
35384,Java;SQL
35503,C#;Dart;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript
36047,C#;HTML/CSS;JavaScript;Kotlin;Node.js;Python;SQL;TypeScript
36171,C;C#;C++;HTML/CSS;Java;Kotlin;Matlab;Node.js;PHP;PowerShell;Python;SQL
36352,C#;HTML/CSS;Java;JavaScript;Node.js;SQL
40330,C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;Ruby;SQL
40565,Bash/Shell;C;Python;R
41132,Bash/Shell;C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL
43097,C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL;TypeScript
43185,HTML/CSS;JavaScript;PHP;SQL;TypeScript
43294,HTML/CSS;JavaScript;Ruby;TypeScript
44139,Clojure;PHP;Python
45285,JavaScript;Node.js;PHP
48144,HTML/CSS;Java;JavaScript
50701,HTML/CSS;JavaScript;Python;R;SQL
51094,Bash/Shell;C;Haskell;HTML/CSS;Java;Kotlin;PHP;Python;R;SQL;Swift
52090,JavaScript;Node.js
52347,Haskell;HTML/CSS;JavaScript;Python;TypeScript
52366,HTML/CSS;Java;JavaScript;Node.js;PHP;Python;R;SQL;TypeScript
52374,HTML/CSS;JavaScript;Node.js;Python;Ruby
